Word,W_Length,W_TotalStrokes,W_Count,W(log),W_million,W_CD,W_CD(log),W_CD(ratio)
的,1,8,1682530,6.226,50155.13,6243,3.7954,100
我,1,7,1682285,6.2259,50147.83,6242,3.7953,99.98
你,1,7,1329424,6.1237,39629.27,6242,3.7953,99.98
是,1,9,947807,5.9767,28253.52,6243,3.7954,100
了,1,2,946365,5.9761,28210.53,6243,3.7954,100
不,1,4,689161,5.8383,20543.44,6242,3.7953,99.98
在,1,6,429766,5.6332,12811.05,6242,3.7953,99.98
他,1,5,397653,5.5995,11853.78,6237,3.795,99.9
我们,2,12,371696,5.5702,11080.02,6241,3.7953,99.97
好,1,6,334698,5.5247,9977.13,6241,3.7953,99.97
有,1,6,289109,5.4611,8618.15,6242,3.7953,99.98
这,1,7,286987,5.4579,8554.9,6241,3.7953,99.97
就,1,12,276636,5.4419,8246.34,6243,3.7954,100
会,1,6,265929,5.4248,7927.17,6242,3.7953,99.98
吗,1,6,249187,5.3965,7428.1,6107,3.7858,97.82
要,1,9,238656,5.3778,7114.18,6242,3.7953,99.98
什么,2,7,236517,5.3739,7050.42,6224,3.7941,99.7
说,1,9,226955,5.3559,6765.38,6242,3.7953,99.98
她,1,6,221420,5.3452,6600.39,6134,3.7877,98.25
想,1,13,212185,5.3267,6325.1,6240,3.7952,99.95
一,1,1,203626,5.3088,6069.96,6240,3.7952,99.95
很,1,9,200584,5.3023,5979.28,6239,3.7951,99.94
知道,2,20,196745,5.2939,5864.84,6238,3.795,99.92
人,1,2,194914,5.2898,5810.26,6239,3.7951,99.94
吧,1,7,194084,5.288,5785.52,6238,3.795,99.92
那,1,6,190087,5.279,5666.37,6238,3.795,99.92
来,1,7,185154,5.2675,5519.32,6239,3.7951,99.94
都,1,10,177619,5.2495,5294.71,6237,3.795,99.9
个,1,3,173905,5.2403,5184,6239,3.7951,99.94
能,1,10,166656,5.2218,4967.91,6239,3.7951,99.94
去,1,5,163054,5.2123,4860.53,6239,3.7951,99.94
没,1,7,159508,5.2028,4754.83,6239,3.7951,99.94
和,1,8,150418,5.1773,4483.86,6214,3.7934,99.54
他们,2,10,140460,5.1476,4187.02,6199,3.7923,99.3
到,1,8,139534,5.1447,4159.42,6238,3.795,99.92
对,1,5,132805,5.1232,3958.83,6229,3.7944,99.78
也,1,3,131801,5.1199,3928.9,6236,3.7949,99.89
啊,1,10,130963,5.1171,3903.92,6126,3.7872,98.13
还,1,7,130326,5.115,3884.93,6235,3.7948,99.87
把,1,7,124534,5.0953,3712.28,6234,3.7948,99.86
让,1,5,123809,5.0928,3690.67,6230,3.7945,99.79
做,1,11,122364,5.0877,3647.59,6226,3.7942,99.73
给,1,9,117218,5.069,3494.19,6235,3.7948,99.87
一个,2,4,116726,5.0672,3479.53,6228,3.7943,99.76
上,1,3,114371,5.0583,3409.33,6238,3.795,99.92
你们,2,12,112946,5.0529,3366.85,6171,3.7904,98.85
过,1,6,112388,5.0507,3350.21,6236,3.7949,99.89
没有,2,13,108237,5.0344,3226.48,6218,3.7937,99.6
得,1,11,105189,5.022,3135.62,6215,3.7934,99.55
看,1,9,102546,5.0109,3056.83,6235,3.7948,99.87
真,1,10,102445,5.0105,3053.82,6224,3.7941,99.7
着,1,11,100091,5.0004,2983.65,6222,3.7939,99.66
事,1,8,97715,4.99,2912.82,6198,3.7923,99.28
这个,2,10,92058,4.9641,2744.19,6229,3.7944,99.78
怎么,2,12,89166,4.9502,2657.98,6210,3.7931,99.47
现在,2,14,88120,4.9451,2626.8,6227,3.7943,99.74
可以,2,9,79198,4.8987,2360.84,6206,3.7928,99.41
点,1,9,77665,4.8902,2315.14,6194,3.792,99.22
呢,1,8,76752,4.8851,2287.93,6196,3.7921,99.25
如果,2,14,76417,4.8832,2277.94,6157,3.7894,98.62
只,1,5,72698,4.8615,2167.08,6223,3.794,99.68
别,1,7,69865,4.8443,2082.63,6143,3.7884,98.4
哦,1,10,69380,4.8412,2068.17,5428,3.7346,86.95
但,1,7,68241,4.834,2034.22,5812,3.7643,93.1
被,1,10,65695,4.8175,1958.33,6150,3.7889,98.51
走,1,7,65258,4.8146,1945.3,6158,3.7894,98.64
太,1,4,65151,4.8139,1942.11,6180,3.791,98.99
这样,2,17,64295,4.8082,1916.59,6194,3.792,99.22
里,1,7,63276,4.8012,1886.22,6179,3.7909,98.97
跟,1,13,62979,4.7992,1877.36,5801,3.7635,92.92
告诉,2,14,61222,4.7869,1824.99,6141,3.7882,98.37
因为,2,10,59823,4.7769,1783.29,6148,3.7887,98.48
自己,2,9,57978,4.7633,1728.29,6155,3.7892,98.59
再,1,6,56520,4.7522,1684.82,6197,3.7922,99.26
听,1,7,54888,4.7395,1636.18,6145,3.7885,98.43
这里,2,14,53900,4.7316,1606.72,5879,3.7693,94.17
快,1,7,53510,4.7284,1595.1,5924,3.7726,94.89
谁,1,10,52782,4.7225,1573.4,6152,3.789,98.54
但是,2,16,52718,4.722,1571.49,5615,3.7493,89.94
多,1,6,52605,4.721,1568.12,6189,3.7916,99.14
用,1,5,52436,4.7196,1563.08,6173,3.7905,98.88
时候,2,17,52176,4.7175,1555.33,6130,3.7875,98.19
下,1,3,51975,4.7158,1549.34,6171,3.7904,98.85
已经,2,11,51772,4.7141,1543.29,6123,3.787,98.08
谢谢,2,24,51457,4.7114,1533.9,6006,3.7786,96.2
为什么,3,11,51063,4.7081,1522.16,6072,3.7833,97.26
觉得,2,20,51047,4.708,1521.68,5956,3.775,95.4
天,1,4,50660,4.7047,1510.14,6117,3.7865,97.98
像,1,13,50229,4.701,1497.29,6057,3.7823,97.02
这么,2,10,49082,4.6909,1463.1,6104,3.7856,97.77
它,1,5,49024,4.6904,1461.37,5777,3.7617,92.54
从,1,4,47313,4.675,1410.37,6129,3.7874,98.17
先生,2,11,46864,4.6708,1396.99,5211,3.7169,83.47
找,1,7,46647,4.6688,1390.52,6006,3.7786,96.2
最,1,12,46464,4.6671,1385.06,6129,3.7874,98.17
喜欢,2,18,46146,4.6641,1375.58,5856,3.7676,93.8
可,1,5,46123,4.6639,1374.9,5922,3.7725,94.86
为,1,4,45565,4.6586,1358.26,6091,3.7847,97.57
大,1,3,45061,4.6538,1343.24,6109,3.786,97.85
可能,2,15,44424,4.6476,1324.25,6005,3.7785,96.19
需要,2,23,44362,4.647,1322.4,5982,3.7768,95.82
是的,2,17,44210,4.6455,1317.87,5568,3.7457,89.19
死,1,6,44056,4.644,1313.28,5748,3.7595,92.07
次,1,6,43873,4.6422,1307.83,6105,3.7857,97.79
出,1,5,42784,4.6313,1275.36,6120,3.7868,98.03
那么,2,9,41794,4.6211,1245.85,5917,3.7721,94.78
干,1,3,41651,4.6196,1241.59,5949,3.7744,95.29
那个,2,9,41417,4.6172,1234.61,6022,3.7797,96.46
嘿,1,15,41175,4.6146,1227.4,4817,3.6828,77.16
们,1,5,39958,4.6016,1191.12,5590,3.7474,89.54
话,1,8,39900,4.601,1189.39,6048,3.7816,96.88
而,1,6,39381,4.5953,1173.92,5899,3.7708,94.49
么,1,3,39120,4.5924,1166.14,3260,3.5132,52.22
东西,2,11,38127,4.5812,1136.54,5958,3.7751,95.43
应该,2,15,37811,4.5776,1127.12,5960,3.7752,95.47
孩子,2,12,37243,4.571,1110.19,5216,3.7173,83.55
起来,2,17,37205,4.5706,1109.06,5973,3.7762,95.68
所以,2,12,37014,4.5684,1103.36,5910,3.7716,94.67
这些,2,15,36735,4.5651,1095.05,5954,3.7748,95.37
才,1,3,36716,4.5649,1094.48,6073,3.7834,97.28
两,1,7,36580,4.5632,1090.43,5953,3.7747,95.35
错,1,13,36166,4.5583,1078.09,5950,3.7745,95.31
还有,2,13,35932,4.5555,1071.11,6078,3.7838,97.36
又,1,2,35561,4.551,1060.05,6000,3.7782,96.11
小,1,3,34967,4.5437,1042.34,5838,3.7663,93.51
中,1,4,34862,4.5424,1039.21,5837,3.7662,93.5
叫,1,5,34648,4.5397,1032.83,5853,3.7674,93.75
嗯,1,13,34639,4.5396,1032.57,4451,3.6485,71.3
该,1,8,34169,4.5336,1018.56,5878,3.7692,94.15
等,1,12,34016,4.5317,1014,5928,3.7729,94.95
问题,2,21,33364,4.5233,994.56,5848,3.767,93.67
一起,2,11,32889,4.5171,980.4,5873,3.7689,94.07
拿,1,10,32361,4.51,964.66,5858,3.7677,93.83
更,1,7,32253,4.5086,961.44,5936,3.7735,95.08
开始,2,12,32126,4.5069,957.66,5934,3.7733,95.05
帮,1,9,31793,4.5023,947.73,5730,3.7582,91.78
打,1,5,31223,4.4945,930.74,5626,3.7502,90.12
爱,1,10,31122,4.4931,927.73,5314,3.7254,85.12
带,1,9,31069,4.4923,926.15,5852,3.7673,93.74
时间,2,14,30703,4.4872,915.24,5902,3.771,94.54
年,1,6,30648,4.4864,913.6,5578,3.7465,89.35
请,1,10,30598,4.4857,912.11,5588,3.7473,89.51
回,1,6,30259,4.4809,902,5948,3.7744,95.27
工作,2,10,30191,4.4799,899.97,5295,3.7239,84.81
然后,2,18,29752,4.4735,886.89,5749,3.7596,92.09
当,1,6,29619,4.4716,882.92,5787,3.7625,92.7
见,1,4,29340,4.4675,874.61,5856,3.7676,93.8
钱,1,10,29221,4.4657,871.06,4602,3.6629,73.71
噢,1,15,29190,4.4652,870.14,3548,3.55,56.83
一样,2,11,28861,4.4603,860.33,5906,3.7713,94.6
事情,2,19,28176,4.4499,839.91,5367,3.7297,85.97
就是,2,21,28137,4.4493,838.75,5877,3.7692,94.14
吃,1,6,27913,4.4458,832.07,5155,3.7122,82.57
所有,2,14,27749,4.4432,827.18,5681,3.7544,91
开,1,4,27382,4.4375,816.24,5709,3.7566,91.45
一下,2,4,27171,4.4341,809.95,5714,3.7569,91.53
家,1,10,27026,4.4318,805.63,5613,3.7492,89.91
非常,2,19,26976,4.431,804.14,5138,3.7108,82.3
看到,2,17,26783,4.4279,798.38,5628,3.7504,90.15
希望,2,18,26658,4.4258,794.66,5741,3.759,91.96
那些,2,14,26450,4.4224,788.46,5594,3.7477,89.6
哪,1,9,26385,4.4214,786.52,5326,3.7264,85.31
当然,2,18,26313,4.4202,784.37,5734,3.7585,91.85
也许,2,9,26083,4.4164,777.52,5032,3.7017,80.6
行,1,6,26032,4.4155,776,5602,3.7483,89.73
朋友,2,12,26017,4.4153,775.55,5439,3.7355,87.12
妈妈,2,12,25730,4.4104,766.99,4246,3.628,68.01
相信,2,18,25699,4.4099,766.07,5665,3.7532,90.74
前,1,9,25613,4.4085,763.51,5722,3.7575,91.65
嗨,1,13,25335,4.4037,755.22,4281,3.6315,68.57
认为,2,8,25294,4.403,754,5162,3.7128,82.68
将,1,9,24946,4.397,743.62,4900,3.6902,78.49
这儿,2,9,24824,4.3949,739.99,4386,3.6421,70.25
今天,2,8,24750,4.3936,737.78,5484,3.7391,87.84
明白,2,13,24744,4.3935,737.6,5475,3.7384,87.7
一直,2,9,24551,4.3901,731.85,5731,3.7582,91.8
看看,2,18,24319,4.3859,724.93,5695,3.7555,91.22
车,1,4,23974,4.3797,714.65,4469,3.6502,71.58
时,1,7,23472,4.3706,699.69,5304,3.7246,84.96
杀,1,6,23405,4.3693,697.69,4221,3.6254,67.61
地方,2,10,23358,4.3684,696.29,5538,3.7434,88.71
不过,2,10,23333,4.368,695.54,4705,3.6726,75.36
呃,1,7,22734,4.3567,677.69,3346,3.5245,53.6
发生,2,10,22602,4.3541,673.75,5395,3.732,86.42
几,1,2,22431,4.3508,668.65,5590,3.7474,89.54
回来,2,13,22423,4.3507,668.42,5483,3.739,87.83
准备,2,18,22202,4.3464,661.83,5365,3.7296,85.94
找到,2,15,22128,4.3449,659.62,5139,3.7109,82.32
后,1,6,22018,4.3428,656.34,5508,3.741,88.23
爸爸,2,16,21930,4.341,653.72,3747,3.5737,60.02
一切,2,5,21709,4.3366,647.13,5326,3.7264,85.31
抱歉,2,22,21563,4.3337,642.78,5096,3.7072,81.63
比,1,4,21371,4.3298,637.06,5555,3.7447,88.98
感觉,2,22,21315,4.3287,635.39,5104,3.7079,81.76
些,1,8,21286,4.3281,634.52,5399,3.7323,86.48
